7410:14500,102679,40166,25338,106287,39520,18278,92204,25214,90168
9420:5017,18867,40166,25338,106287,39520,18278,92204,25214,90168
2799:441,30939,40166,25338,106287,39520,18278,92204,25214,90168
33547:669,102679,40166,25338,106287,39520,18278,92204,25214,90168
5180:21631,102679,40166,25338,106287,39520,18278,92204,25214,90168
2857:57431,38738,42264,67417,11730,1133,30739,92204,25214,90168
19452:3771,102679,40166,25338,106287,39520,18278,92204,25214,90168
30527:866,102679,40166,25338,106287,39520,18278,92204,25214,90168
23073:24769,102679,40166,25338,106287,39520,18278,92204,25214,90168
6391:669,102679,40166,25338,106287,39520,18278,92204,25214,90168
17007:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
39821:38928,102679,40166,25338,106287,39520,18278,92204,25214,90168
42179:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
7637:999,4174,27986,4041,10640,15774,1344,2976,25214,90168
23335:31284,102679,40166,25338,106287,39520,18278,92204,25214,90168
3169:718,17,2168,2607,31015,656,1927,285,2670,559
8877:94,14202,65,24429,9943,39520,18278,92204,25214,90168
8141:719,102679,40166,25338,106287,39520,18278,92204,25214,90168
19405:10333,102679,40166,25338,106287,39520,18278,92204,25214,90168
33374:33055,102679,40166,25338,106287,39520,18278,92204,25214,90168
42174:7178,102679,40166,25338,106287,39520,18278,92204,25214,90168
5502:1591,102679,40166,25338,106287,39520,18278,92204,25214,90168
37501:24481,102679,40166,25338,106287,39520,18278,92204,25214,90168
40115:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
4124:10832,54300,40166,25338,106287,39520,18278,92204,25214,90168
20756:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
35212:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
5435:54403,1086,364,25338,106287,39520,18278,92204,25214,90168
53796:120085,102679,40166,25338,106287,39520,18278,92204,25214,90168
24725:6487,102679,40166,25338,106287,39520,18278,92204,25214,90168
70:79667,1121,59189,25338,106287,39520,18278,92204,25214,90168
6404:7235,719,40166,25338,106287,39520,18278,92204,25214,90168
43799:20224,102679,40166,25338,106287,39520,18278,92204,25214,90168
29956:15365,102679,40166,25338,106287,39520,18278,92204,25214,90168
4702:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
3572:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
7734:16553,7893,40166,25338,106287,39520,18278,92204,25214,90168
20766:15686,102679,40166,25338,106287,39520,18278,92204,25214,90168
45250:6293,102679,40166,25338,106287,39520,18278,92204,25214,90168
15587:2677,37575,40166,25338,106287,39520,18278,92204,25214,90168
899:508,10930,1205,1815,12611,5567,202,75351,709,295
31545:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
37054:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
18204:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
44728:866,102679,40166,25338,106287,39520,18278,92204,25214,90168
10968:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
1551:654,302,8276,25338,106287,39520,18278,92204,25214,90168
4992:3191,1614,8683,16819,12310,5848,7956,1348,1387,2661
28606:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
6601:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
12037:1239,6759,6708,25338,106287,39520,18278,92204,25214,90168
7433:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
8336:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
54855:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
7760:1881,1405,2135,25338,106287,39520,18278,92204,25214,90168
38888:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
4889:1155,18867,354,4187,1119,10825,786,92204,25214,90168
4696:56784,102679,40166,25338,106287,39520,18278,92204,25214,90168
